"National Pokédex
number",English,Notes
880,Dracozolt,"Four new fossil Pokémon were introduced in Sword and Shield, seemingly based on the Crystal Palace Dinosaurs, a collection of misassembled dinosaur sculptures on display in London's Crystal Palace Park. Each come from various combinations of four fossils: Bird, Dino, Drake and Fish. If you resurrect two fossils, the outcome will be one of these Pokémon. The Fozzilized Bird and Fossilized Dino items are more common in Sword. and the Fossilized Fish and Fossilized Drake items are more common in Shield.Dracozolt was almost unbeatable in its time thanks to its powerful strong legs in its lower half of its body, while the top was entirely too small in size and while it can generate electricity in the muscles in its tail, its depletion of its plant-food resources caused its own extinction.
The shaking upper half of Arctozolts body is what generates electricity. It also could preserve food in the ice on its body to save for a later time if it was hungry. The reason why it went extinct in the first place was because it found itself too slow and it had a hard time moving around.
Dracovish's powerful jaws and legs made it the most fearless predator of its time, but its own doing made it extinct by over hunting it's underwater prey. Although it can run up to 40 mph, it can't breathe unless it's underwater. It is very popular in competitive Pokémon due to its signature move, Fishious Rend and its statistics compared to the other fossils.[24]
The skin on Arctovish's face is completely immune to attacks and while freezing its surroundings is how it hunts prey, it can have a hard time eating it due to the mouth on the top of its head. It couldn't breathe very well, leading to its extinction."
881,Arctozolt,
882,Dracovish,
883,Arctovish,
884,Duraludon,"Duraludon are dragon-resemblant alloy Pokémon that are unusually light for their size. It seems to be based on The Shard, the tallest building in the United Kingdom. Sharing a habitat with Tyranitar, the two species frequently battle for territory. Like all Steel-type Pokémon, Duraludon are capable of being taught the immensely powerful Steel-type move Steel Beam てっていこうせん (Tettei Kо̄sen), which, while powerful, causes the user to lose half of their base HP.[25]"
885,Dreepy,"Dreepy and its evolutionary family are described as coming from an extinct species of amphibian Pokémon, resembling Diplocaulus. Coming back as a ghost, Dreepy will go back to the seas of which it ruled."
886,Drakloak,Drakloak is capable of flying at over 120 miles per hour. It cares for a Dreepy that rests on its head until it evolves into a Drakloak itself.
887,Dragapult,"According to its Pokedex entry, Dragapult keeps its pre-evolved counterpart, Dreepy, inside of hollow openings in the front of its horns, which can be fired out like supersonic missiles. This is Dragapult's signature attack, known as Dragon Darts[26] Dragapult may be based on supersonic jets. It is also the ninth pseudo-legendary Pokémon in the series."
888,Zacian,"Zacian is a wolf-like Pokémon. In its Crowned Sword form, it carries a sword in its mouth.[2] Crowned Sword Zacian fights gracefully and its sword is capable of gracefully cutting through anything.[27] In Crowned Sword form, its signature move Behemoth Blade deals double damage to Dynamax and Gigantamax Pokémon. Its design is similar to the Great Grey Wolf Sif from Dark Souls.[2][28] Bandai Namco, the publisher for Dark Souls, acknowledged the similarity soon after the Pokémon's reveal during E3 2019.[29] In Super Smash Bros. Ultimate, Zacian is a spirit along with Zamazenta."
,,
889,Zamazenta,"Zamazenta is a wolf-like Pokémon. In its Crowned Shield form, it is adorned with a large shield on the front of its body. This shield is capable of repelling any attack and also capable of sustaining some of the most powerful blows. In Crowned Shield form, its signature move Behemoth Bash deals double damage to Dynamax and Gigantamax Pokémon.[2][27] In Super Smash Bros. Ultimate, Zamazenta is a spirit along with Zacian."
,,
890,Eternatus,"Eternatus is said to have birthed from a meteor hitting Galar over 30,000 years ago. It causes the Darkest Day in the climax of the game, taking all the Dynamax power in Galar to its advantage. Unlike Gigantamaxing, this Pokémon has an exclusive ""Eternamax"" form, which is only seen in the game's climax and battled by the player. The only legitimately obtainable appearance of this Eternamax form is when Eternatus uses one of its signature moves, Eternabeam. It has a second signature move known as Dynamax Cannon, which deals double damage to Dynamax and Gigantamax Pokémon."
891,Kubfu,"Kubfu is a small, bear-like Legendary Pokémon central to the Isle of Armor story. It constantly trains to perfect its martial arts ability."
892,Urshifu,"Kubfu evolves into Urshifu after completing its training in the Tower of Darkness or Tower of Waters and then being shown the scroll at the top floor of the respective tower. Its secondary type depends on its fighting style, with Dark for Single-Strike Style and Water for Rapid-Strike Style. Single-Strike Style Urshifu uses single, devastating blows with its fists, while Rapid-Strike Style Urshifu uses multiple, nonstop blows at unbelievable speed. Urshifu is capable of Gigantamax, with its 2 forms having different Gigantamax appearances. Each form also has a special new move - Wicked Blow for Single-Strike Style and Surging Strikes for Rapid-Strike Style. Both forms also have their own special G-Max move."
,,
893,Zarude,"Zarude is a new Mythical Pokémon that was revealed on Pokémon Day 2020. Resemblant of a baboon and a mandrill, Zarude is very aggressive and lives in packs. When the vines on their body tear off, they become nutrients for the soil and stimulate the growth of the plants in the lush forests it calls home[30] However, they also occasionally exhibit a softer side. One of the Zarude, a caped one, left its pack to care for an orphaned human child. From its bond with this human child, it developed unique strength. As a result, it was nicknamed Dada.[31] This Pokémon will also star in the upcoming 23rd anime film, Pokémon the Movie: Secrets of the Jungle, releasing in Japan on December 25, 2020.[32] Zarude is the only Pokemon capable of learning the move Jungle Healing. Jungle Healing restores HP and heals the status conditions of Zarude and its allies."
894,Regieleki,"Two Legendary Pokémon of Galar appeared in a Nintendo Direct on January 9, 2020 and are new members of the Legendary Titans, alongside Regirock, Regice, Registeel and their master Regigigas. Their official names were revealed in a trailer on June 2, 2020. They appeared in The Crown Tundra story. Only one of these two Titans can be caught per game, and the one to be caught is determined by the player. Both, along with Regirock, Regice and Registeel, are required in the party to encounter Regigigas in a Pokémon Den, meaning the Titan not captured by the player must be obtained by trading.Regieleki's body is a single organ composed of a cluster of electricity, which generates electrical energy. If the rings bounding its body together were to be removed, all of its energy would be released at once. Its signature move, Thunder Cage, damages the target and traps it in a field of electricity that damages them mildly over the course of four to five turns. It has the highest base Speed stat of any Electric-type Pokémon.
Regidrago's body is made of crystallized dragon energy and is said to have the powers of all Dragon-type Pokémon. It is theorized that its arms were once the head of an ancient dragon Pokémon, but this theory remains unproven. Regidrago was created by Regigigas out of crystallized dragon energy, but ran out of crystals, and thus, only the head was completed. As a result, the people of old feared of the destruction Regidrago would cause on their land should it be completed. The ancient people immediately sealed it away in a temple. Regidrago's signature move, Dragon Energy, deals more damage the more HP it has left."
895,Regidrago,
896,Glastrier,"Described as the Legendary Steeds, they are Calyrex' loyal Pokémon. Depending on whether you use the Iceroot Carrots or the Shaderoot Carrots to summon a Steed, they will be the Steed that Calyrex chooses. Calyrex can mount either one and ""fuse"" with the Steed using the Reins of Unity to become Ice Rider Calyrex or Shadow Rider Calyrex. Only one Steed can be chosen per game.Glastrier resembles an ice-elemental unicorn with a mask of ice harder than diamond. It may be based on the horse of Conquest from the mythological Four Horsemen of the Apocalypse, as well as the white knight piece in chess. It emits intensely cold energy from its hooves and has massive physical strength, which it uses to belligerently take whatever it wants. To choose this Steed, the player must plant Carrot Seeds in an icy field on Snowslide Slope to grow an Iceroot Carrot.
Spectrier resembles a ghostly horse and may be based on the horse of Famine from the mythological Four Horsemen of the Apocalypse, as well as the black knight piece in chess. It craves silence and solitude and probes its surroundings using every sense except sight. Spectrier absorbs the life force of sleeping creatures as it runs about at night, and its kicks are said to result in out-of-body experiences. To choose this Steed, the player must plant Carrot Seeds in a gloomy field within the Old Cemetery to grow a Shaderoot Carrot."
